,Sales,Quantity,Discount,Profit,Days Since First Order,lag_sales_1,lag_profit_1,rolling_sales_mean_3,rolling_profit_mean_3,cohort,churn,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables
911,384,4,0,-126,0,368,81,291,-19,0,0,0,0,1,0,0,0,0,0,0,0,0
912,913,5,0,-52,0,384,-126,555,-32,0,0,0,0,1,0,0,0,0,0,0,0,0
920,24,5,0,9,803,180,-240,136,-59,27,1,0,1,0,0,0,0,1,0,0,1,0
921,842,3,0,160,803,24,9,349,-23,27,1,0,1,0,0,0,0,1,0,0,0,1
922,12,2,0,4,189,79,29,137,20,6,1,0,0,1,0,0,0,0,1,0,1,0
923,25,5,0,8,743,853,0,349,1,25,1,0,0,0,0,0,0,0,1,0,1,0
924,1279,5,0,225,743,25,8,719,78,25,1,0,0,0,0,0,0,0,1,0,0,0
928,128,3,0,-23,255,1603,100,582,25,9,0,0,0,1,1,0,1,0,0,1,0,0
930,344,2,0,-189,1073,63,-15,167,-63,35,1,1,0,0,0,1,1,0,0,0,0,1
931,21,4,0,7,1073,344,-189,143,-65,35,1,1,0,0,0,1,1,0,0,0,1,0
937,23,1,0,5,0,18,6,21,0,0,0,0,0,1,0,1,0,0,1,0,1,0
939,37,2,0,17,493,155,63,69,29,16,1,0,0,1,1,0,0,0,0,0,1,0
941,20,4,0,6,0,305,-8,450,-10,0,0,0,0,1,1,0,0,0,0,0,1,0
944,408,2,0,72,829,129,54,219,41,27,0,0,0,0,0,0,1,0,0,1,0,0
945,122,3,0,13,0,1272,-814,472,-264,0,1,1,0,0,0,1,0,0,1,1,0,0
952,127,3,0,-9,0,599,93,590,108,0,1,0,0,0,0,0,0,0,0,1,0,0
953,36,5,0,13,501,7,3,333,-69,17,0,0,1,0,1,0,0,0,1,0,1,0
954,419,4,0,-57,374,113,9,192,-33,12,1,0,0,1,0,1,0,1,0,1,0,0
962,47,8,0,20,1079,102,-6,867,-111,36,0,0,0,1,0,0,0,0,1,0,1,0
963,542,3,0,141,60,91,31,220,60,2,1,0,0,1,0,1,1,0,0,1,0,0
964,14,3,0,4,699,361,68,246,26,23,0,0,0,1,0,0,0,1,0,0,1,0
967,586,6,0,34,12,205,-36,471,45,0,1,0,0,1,1,0,0,0,1,0,0,0
969,145,2,0,-8,768,681,42,369,23,25,1,0,0,1,0,1,1,0,0,1,0,0
974,272,3,0,30,737,299,56,216,40,24,1,0,0,1,0,0,0,0,0,0,1,0
976,241,4,0,-56,353,24,10,157,-6,11,1,0,0,1,1,0,1,0,0,0,0,1
977,163,4,0,-81,353,241,-56,143,-42,11,1,0,0,1,1,0,1,0,0,0,0,0
979,242,3,0,-42,227,51,10,188,6,7,1,0,0,0,0,0,0,0,1,1,0,0
980,302,3,0,48,528,69,12,181,4,17,1,1,0,0,0,0,0,0,0,1,0,0
981,142,2,0,38,528,302,48,171,32,17,1,1,0,0,0,0,0,0,0,1,0,0
982,546,9,0,136,528,142,38,330,74,17,1,1,0,0,0,0,0,0,0,1,0,0
983,212,3,0,14,528,546,136,300,63,17,1,1,0,0,0,0,0,0,0,0,1,0
984,7,1,0,-6,585,480,-269,184,-89,19,1,0,0,1,0,1,0,0,0,0,1,0
985,173,4,0,17,255,293,-20,292,-2,8,1,0,0,0,0,0,1,0,0,0,1,0
989,275,3,0,-37,242,26,11,318,28,8,0,0,1,0,0,1,1,0,0,0,0,0
993,35,3,0,11,318,241,24,290,111,11,1,1,0,0,1,0,0,0,1,0,1,0
996,63,1,0,10,0,561,28,443,31,0,0,0,0,0,0,0,1,0,0,1,0,0
997,683,4,0,0,157,474,199,392,67,5,1,0,0,1,0,0,0,0,0,1,0,0
999,52,9,0,15,357,69,-143,647,11,12,1,0,0,1,0,0,0,0,1,0,1,0
1000,54,5,0,10,357,52,15,58,-39,12,1,0,0,1,0,0,0,0,1,0,1,0
1001,364,5,0,-248,357,54,10,157,-74,12,1,0,0,1,0,0,0,0,1,0,0,1
1004,91,9,0,19,936,190,-21,568,118,31,1,0,1,0,0,0,1,0,0,0,1,0
1008,77,3,0,15,986,127,-9,71,2,32,1,0,0,1,0,0,1,0,0,0,1,0
1010,975,5,0,121,0,27,-14,381,49,0,1,0,0,1,0,0,0,0,1,1,0,0
1011,12,3,0,4,0,12,4,34,12,0,1,0,1,0,0,0,0,0,1,0,1,0
1012,9,3,0,4,0,12,4,11,4,0,1,0,1,0,0,0,0,0,1,0,1,0
1014,464,9,0,92,0,77,38,308,56,0,1,0,0,1,0,0,0,0,1,0,1,0
1020,254,3,0,-32,1158,408,72,263,31,38,0,0,1,0,0,0,0,0,0,1,0,0
1023,897,3,0,251,1071,51,5,516,82,36,0,0,0,1,0,1,1,0,0,1,0,0
1024,333,3,0,3,0,29,10,235,30,0,1,0,0,1,0,0,0,0,1,0,0,0
1026,283,4,0,82,0,1268,266,558,124,0,1,0,0,1,0,0,1,0,0,0,0,0
1027,18,3,0,6,911,492,-14,544,-2,30,0,0,0,1,0,0,0,0,1,0,1,0
1031,207,2,0,-28,875,523,-192,421,-82,29,0,0,0,0,1,0,0,1,0,1,0,0
1032,35,2,0,5,875,207,-28,255,-71,29,0,0,0,0,1,0,0,1,0,0,1,0
1035,209,7,0,-356,926,616,-36,601,-73,31,0,0,0,0,1,0,0,0,1,0,0,0
1038,39,4,0,11,643,171,44,84,25,21,1,0,0,1,0,0,0,0,1,0,1,0
1043,199,4,0,-37,256,209,-356,342,-143,9,0,0,0,0,1,0,1,0,0,0,0,1
1044,467,9,0,191,0,504,80,345,87,0,0,0,1,0,0,0,0,0,1,0,1,0
1049,744,5,0,-95,99,99,-7,282,-33,3,1,0,1,0,0,0,0,0,0,0,0,1
1050,401,2,0,-131,99,744,-95,415,-78,3,1,0,1,0,0,0,0,0,0,0,0,1
1053,10,3,0,-4,0,214,-120,77,-40,0,1,0,0,1,0,0,0,0,0,0,1,0
1057,101,8,0,37,854,141,-14,85,8,28,0,0,0,1,1,0,0,0,1,0,1,0
1060,86,2,0,29,941,212,14,281,60,31,1,0,0,1,0,0,0,0,1,0,1,0
1065,14,2,0,-10,701,569,-178,196,-62,23,1,0,1,0,0,1,0,0,0,0,1,0
1068,170,3,0,-17,147,203,22,230,-4,5,0,0,0,1,0,0,0,0,1,1,0,0
1070,3504,5,0,700,759,207,85,1244,259,25,1,0,1,0,1,0,0,0,0,1,0,0
1071,328,3,0,-91,766,545,114,595,47,25,0,0,0,1,0,0,0,0,0,0,0,0
1073,1516,7,0,394,335,710,-97,745,99,11,0,0,0,1,0,0,0,0,0,1,0,0
1076,498,7,0,134,1161,393,-204,706,-23,39,1,1,0,0,0,0,0,0,0,1,0,0
1078,353,2,0,-44,638,22,2,466,57,21,1,0,0,1,0,0,1,0,0,0,0,0
1079,697,5,0,8,693,22,4,243,5,23,1,0,1,0,0,0,0,0,1,0,0,1
1080,30,1,0,12,693,697,8,250,8,23,1,0,1,0,0,0,0,0,1,0,1,0
1081,605,6,0,145,0,70,12,230,53,0,1,0,0,1,1,0,0,1,0,1,0,0
1084,362,3,0,36,0,164,50,183,31,0,1,0,0,1,0,0,1,0,0,0,0,0
1085,136,2,0,15,26,253,-14,150,-8,1,1,0,1,0,1,0,0,0,1,0,0,1
1088,200,1,0,-22,0,215,-103,187,-21,0,1,0,0,0,0,1,0,0,0,0,0,1
1091,399,7,0,-14,781,27,8,328,0,26,0,1,0,0,1,0,0,0,1,0,0,1
1093,340,6,0,-9,69,145,-8,389,8,2,1,0,0,1,0,1,0,0,0,1,0,0
1096,966,5,0,-13,0,528,0,809,30,0,1,0,0,1,0,0,0,0,0,1,0,0
1097,51,1,0,-15,376,18,7,25,-2,12,0,0,0,1,0,0,1,0,0,0,0,1
1099,2275,10,0,386,789,146,16,981,110,25,1,0,0,1,1,0,0,1,0,0,0,1
1104,64,2,0,21,247,128,-23,598,32,8,0,0,0,1,1,0,0,0,1,0,1,0
1106,11,2,0,1,1087,63,19,76,-5,36,0,0,0,0,0,1,0,1,0,0,1,0
1107,9,1,0,1,1087,11,1,28,7,36,0,0,0,0,0,1,0,1,0,0,1,0
1108,2314,7,0,-1002,1087,9,1,778,-333,36,0,0,0,0,0,1,0,1,0,0,0,1
1109,19,2,0,5,1087,2314,-1002,781,-331,36,0,0,0,0,0,1,0,1,0,0,1,0
1115,70,6,0,23,398,183,-25,179,5,13,0,0,0,1,0,0,0,0,0,0,1,0
1120,63,5,0,23,562,6,1,33,9,18,0,1,0,0,1,0,0,0,1,0,1,0
1121,556,5,0,6,684,225,22,384,-37,23,1,0,0,1,0,0,0,0,1,0,0,0
1122,111,6,0,51,433,24,-12,47,11,15,1,0,0,0,0,0,0,0,1,0,1,0
1124,31,2,0,1,0,568,28,243,13,0,1,0,0,0,0,0,0,1,0,0,1,0
1128,68,2,0,20,1244,120,18,135,-40,40,0,0,0,1,0,0,0,0,1,0,1,0
1129,1478,8,0,92,364,155,-13,625,36,12,1,0,1,0,0,0,0,0,1,0,0,1
1130,9,3,0,4,818,123,11,68,6,26,1,0,0,1,0,0,0,0,1,0,1,0
1135,102,7,0,-183,1095,13,4,259,-35,36,0,0,0,1,0,0,0,0,1,0,0,0
1136,419,4,0,-68,1001,127,-9,382,5,32,1,0,0,1,0,0,0,1,0,1,0,0
1137,218,3,0,-19,268,136,15,202,-6,9,1,0,1,0,1,0,0,1,0,1,0,0
1141,145,5,0,62,426,254,-32,269,34,14,0,0,0,1,0,0,0,0,1,0,1,0
1149,6,2,0,1,36,191,32,333,78,1,1,0,0,1,1,0,0,1,0,0,1,0
1156,17,2,0,1,0,181,38,415,-10,0,0,0,0,1,1,0,0,1,0,0,1,0
1157,98,1,0,-11,0,17,1,99,9,0,0,0,0,1,1,0,0,1,0,1,0,0
1161,6,2,0,2,21,148,29,152,31,0,1,0,1,0,0,1,0,0,1,0,1,0
1162,2348,9,0,399,21,6,2,834,143,0,1,0,1,0,0,1,0,0,1,0,0,1
1163,273,3,0,-13,576,230,23,234,36,19,1,0,0,1,1,0,0,1,0,1,0,0
1164,815,9,0,-339,714,15,7,626,-19,23,0,0,1,0,0,1,1,0,0,0,0,1
1165,1256,6,0,75,0,262,69,755,16,0,0,0,0,1,0,0,0,1,0,0,0,1
1167,1325,6,0,149,275,257,-28,533,42,9,0,0,0,1,0,0,0,0,1,1,0,0
1168,572,3,0,35,275,1325,149,718,51,9,0,0,0,1,0,0,0,0,1,1,0,0
1169,7,4,0,3,0,15,-12,27,5,0,0,0,1,0,0,1,0,1,0,0,1,0
1170,74,5,0,20,998,36,13,39,12,33,0,0,0,1,1,0,1,0,0,0,1,0
1172,1194,5,0,210,1160,70,23,429,80,38,1,0,1,0,1,0,0,0,1,0,0,0
1176,38,3,0,-50,77,1516,394,755,81,2,0,0,0,1,0,0,0,0,0,0,1,0
1177,129,6,0,12,139,77,15,111,6,4,1,1,0,0,0,0,0,1,0,0,1,0
1179,542,3,0,141,157,37,17,245,74,5,1,0,0,1,1,0,1,0,0,1,0,0
1182,79,3,0,30,321,1056,306,646,179,11,1,0,0,1,0,0,1,0,0,0,1,0
1183,127,2,0,21,321,79,30,421,119,11,1,0,0,1,0,0,1,0,0,1,0,0
1185,638,9,0,185,579,273,-13,380,64,19,1,0,0,0,1,0,1,0,0,0,0,0
1186,25,2,0,8,579,638,185,312,60,19,1,0,0,0,1,0,1,0,0,0,1,0
1191,866,4,0,225,733,243,-15,466,71,25,0,0,0,1,0,0,0,1,0,1,0,0
1193,54,4,0,19,1075,25,10,50,11,35,1,0,0,0,0,0,0,0,1,0,1,0
1197,112,1,0,11,80,842,160,326,60,3,1,0,0,1,0,0,0,0,1,1,0,0
1200,72,1,0,0,393,165,41,100,13,12,1,0,0,0,0,0,0,0,1,1,0,0
1201,51,1,0,15,393,72,0,96,18,12,1,0,0,0,0,0,0,0,1,0,1,0
